Name;Website;Address;Opening hours;Google Rating;Price;Tags;Type
Petrocelli's Bar;https://petrocelli.de;Savignyplatz 589, 10623 Berlin;Opens Mon-Sat at 17:00;3,7;€€€;Italian, Lunch;Restaurant
Koshary Lux;https://klx-kosharylux.com;Grolmanstraße 27, 10623 Berlin;"Tue, Wed at 18:00
Opens Thu, Fri 12:00-15:00
Sun, Mon closed";4,5;€;Oriental Streetfood, Delivery;Restaurant
Saigon Green;http://saigon-berlin.de;Kantstraße 23, 10623 Berlin;opens daily at 12:00;4,4;€€;Vietnamese, Lunch, Cash only;Restaurant
Schwarzes Café;https://www.schwarzescafe-berlin.de;Kantstraße 148, 10623 Berlin;opens daily at 8:00-1:00;4,4;€€;European, Cash only;Café
Kaffeehaus Mila;https://www.kaffeehaus-mila.de;Grolmanstraße 40, 10623 Berlin;opens daily at 9:30-20:00;4,1;€€;European, Bonus for *um;Café
Tommi's Burger Joint, Kudamm;https://tommis.is;Kurfürstendamm 212, 10719 Berlin;opens daily at 12:00-21:00;4,4;€€;American, Burger, Tuesday offer;Restaurant
ZEN Restaurant;https://zenberlin.de;Uhlandstraße 170a, 10719 Berlin;opens daily at 12:00-23:00;4,5;€€;Asian, Sushi, Lunch;Restaurant
Arirang ;;Uhlandstraße 194, 10623 Berlin;opens daily at 12:00-23:00;3,8;€;Korean, Cash only;Restaurant
Ashoka;https://www.myashoka.de;Grolmanstraße 51, 10623 Berlin;opens daily at 12:00-0:00;4,1;€;Indian, Vegetarian food, Delivery;Restaurant
Stulle mit Brot;https://stullemitbrot.com;Jeanne-Mammen-Bogen 575, 10623 Berlin;opens Mon-Fri at 11:30-15:30;4,6;€;Soup, Stulle;Restaurant
Elephant;https://restaurant-elefant.de;Fasanenstraße 15, 10623 Berlin;opens daily at 12:00-23:00;4,4;€€;Asian, Thai;Restaurant
Café Bleibtreu;https://www.cafe-bleibtreu.de;Bleibtreustraße 45, 10623 Berlin;opens daily at 10:00-23:00;4,3;€;European, German;Restaurant
Berliner Kaffeerösterei;https://www.berliner-kaffeeroesterei.de;Uhlandstraße 173/174, 10719 Berlin;opens daily at 9:00-20:00;4,5;€€;Café;Café
Zaim Falafel;;Kantstraße 25, 10623 Berlin;opens daily at 12-0:00;4,6;€;Lebanese;Restaurant
What do you fancy love?;http://www.whatdoyoufancylove.de/location/what-do-you-fancy-love/;Knesebeckstraße 68-69, 10623 Berlin;opens daily at 8:00-18:00;4,3;€€;Café;Café
HABEL am Kudamm;http://www.habelamkudamm.de/;Grolmanstraße 39, 10623 Berlin;opens Mon-Fri at 11:00-18:00;4,6;€€;Café, Lunch;Café
Nah am Wasser;http://www.nahamwasser.de/;Knesebeckstraße 76, 10623 Berlin;opens Mon-Fri at 8:00-17:00 ;4,2;€€;German, Breakfast, Lunch, Vegetarian food, Vegan food;Restaurant
Osteria Culaccino;https://www.osteria-culaccino.berlin/;Grolmanstraße 21, 10623 Berlin;opens Mon-Fri at 12:00-00:00, Sat at 16:00-00:00 ;4,4;€€;Italian, Steak, Seafood, Vegetarian food;Restaurant
Cassambalis Taverna;https://cassambalis.de/;Grolmanstraße 35, 10623 Berlin;opens Mon-Sat at 12:00-01:00, Sun at 17:00-00:00;4,4;€€;European, Mediterranean, Seafood;Restaurant
1900 Cafe Bistro;;Knesebeckstraße 76, 10623 Berlin;opens daily at 9:00-18:00;4,5;€€;Café, Breakfast, Lunch, Cake ;Restaurant
Bertolini - Feinkost;https://www.bertolini-feinkost.de/index.html;Grolmanstraße  22, 10623 Berlin;opens Tue-Sat at 12:00-23:00;4,7;€€;Italian, Delivery;Restaurant
Inizio Ristorante Bar;https://inizio.berlin/;Fasanenstraße 77, 10623 Berlin;opens Mon-Sat at 12:00-23:30;4,5;;Italian, Lunch;Restaurant
Burger Now;https://burgernow.de/;Fasanenstraße 14, 10623 Berlin;opens daily at 11:00-00:00;4,3;€;American, Burger, Fast food, Delivery;Restaurant
Simela finest food;https://www.simela.de/;Kantstraße 146, 10623 Berlin;opens daily at 12:00 - 00:00   ;4,3;€€;Modern European, Italian, Pizza;Restaurant
Princess Cheesecake Berlin GmbH;;Knesebeckstraße 32, 10623 Berlin;opens Mon-Fri at 11:00-18:00, Sat-Sun at 11:00-19:00 ;4,3;€€;Café, International;Café
Cappuccino Grand Café by petrocelli;https://petrocelli.de/;Knesebeckstraße 34, 10623 Berlin;opens daily at 8:00-18:00;3,8;€€;Café, Mediterranean, Italian;Café
Reinhard's am Kurfürstendamm;https://www.restaurant-reinhards.de/;Kurfürstendamm 27, 10719 Berlin;opens daily at 7:00-22:00;4,2;€€€;Modern European, German, Bar ;Restaurant
ROMERO Restaurant-Pizzeria;https://www.ristorante-romero.de/;Fasanenstraße 81a, 10623 Berlin;opens Mon-Sat at 11:00 - 01.00, Sun at 16:00 - 00:00;4,2;€€;European, Mediterranean, Italian, Pizza, Vegetarian food, Vegan food;Restaurant
Bagco Coffee Bar;;Kantstraße 154A, 10623 Berlin;opens Mon-Fri at 07:30-20:00, Sat-Sun at 08:00-20:00 ;4,4;€€;Café, Breakfast;Café
Stick’s n Sushi;https://sticksnsushi.com/de;Kantstraße 152, 10623 Berlin;opens Sun-Thu at 12:00-22:00, Fri-Sat at 12:00-23:00 ;4,4;€€;Japanese, Seafood, Sushi;Restaurant
Riviera;https://www.riviera-restaurant.de/;Knesebeckstraße 70, 10623 Berlin;opens Mon-Sat at 12:00-23:00;4,3;€€€;Mediterranean, Italian;Restaurant
Lily Grill-Club by Lily Burger;https://lilyburger.de/;Fasanenstraße 14, 10623 Berlin;opens 24/7, opens daily Breakfast Club 06:00 – 15:00, opens daily Grill Club 13:00 – 06:00;3,8;€€;American, Burger, Fast food, Vegetarian food, Vegan food, Breakfast, Steak;Restaurant
Adéle's Café Lita;http://www.cafelita.de/;Uhlandstraße 184, 10623 Berlin;opens Mon-Fri at 10:00-19:00;4,9;€€;French, German, African, South American, Lunch, Vegetarian food, Breakfast, Sandwiches, Cake, Soup;Café
Nicki´s Mommsen Café;http://www.nickis-mommsen.de/;Mommsenstraße 5, 10629 Berlin;;4,6;€€;Café;Café
Pizza Bleibtreu;http://www.pizzableibtreu.de/;Bleibtreustraße 41, 10623 Berlin;opens Mon-Fri at 11:00-21:30;4,3;€;Pizza;Restaurant
Ali Baba;http://www.alibaba-berlin.de/;Bleibtreustraße 45, 10623 Berlin;opens daily at 12:00-00:00;4,2;€;Mediterranean, Italian, Pizza, Delivery;Restaurant
Kouzina Berlin;https://www.kouzina-berlin.de/;Else-Ury-Bogen 597, 10623 Berlin;opens daily at 12:00-23:00;4,6;€;Mediterranean, Greek, Vegetarian food;Restaurant
12 Apostoli am Savignyplatz;https://www.12-apostoli.de/charlottenburg;Bleibtreustraße 49, 10623 Berlin;opens daily at 12:00-23:00;4,1;€€;International, Italian, Pizza;Restaurant
San Marino;https://sanmarino-restaurant.de/;Savignyplatz 12, 10623 Berlin;opens daily at 09:00-01:00;3,9;€€;Italian, Pizza, Vegetarian food;Restaurant
Lubitsch;http://www.restaurant-lubitsch.de/;Bleibtreustraße 47, 10623 Berlin;opens daily at 12:00-00:00;4,4;€€;German, European, Central European;Restaurant
Coffee Drink Your Monkey;https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FCoffee-Drink-Your-Monkey-134957257047933;Savignyplatz 11, 10623 Berlin;opens Mon-Fri at 07:30-19:00, Sat at 09:00-19:00, Sun at 09:00-18:00;4,4;€€;Café, Vegetarian food, Vegan food;Café
027 ~ Not Your Ordinary Kebab;                              X;Kantstraße 143, 10623 Berlin;opens Sun-Thu at 12:00-22:00, Fr-Sat at 12:00-01:00;4,2;€;Turkish, Kebab, Delivery;Restaurant
My Son;https://myson.restaurant/;Kantstraße 143, 10623 Berlin;opens daily at 12:00-23:00;4,3;;Vietnamese, Sushi, Delivery;Restaurant
ROCA;https://www.waldorfastoriaberlin.de/dine/roca-restaurant/;Hardenbergstraße 28, 10623 Berlin;opens daily at 12:00-21:00;4,3;€€€;European, Vegetarian food;Restaurant
Zaddy's;http://www.zaddys.de/zaddys/;Joachimsthaler Straße 3, 10623 Berlin;opens Sun-Thu at 09:00-00:00, Fr-Sat at 09:00-02:00;4,2;€;Turkish, Kebab, Delivery, Vegetarian food, Fast food;Restaurant
